Income,EmploymentType,LoanAmount,CreditScore,Age,LoanDuration,NumberPreviousDefaults,CollateralInformation,MaritalStatus,Dependents,LoanRepaymentHistory,LoanApproval
48353.0,Unemployed,31258.0,675.0,56,16.0,0,,Married,5,Average,0
57462.0,Self-Employed,23262.0,586.0,69,95.0,1,No,Single,2,Poor,0
44219.0,Self-Employed,26530.0,781.0,46,81.0,3,,Single,4,Good,1
56307.0,Unemployed,11531.0,549.0,32,56.0,1,Yes,Married,5,Good,0
37034.0,Unemployed,27871.0,500.0,60,55.0,0,,Married,0,Good,0
47886.0,Salaried,18106.0,835.0,25,104.0,0,No,Single,0,Good,1
54748.0,Self-Employed,25374.0,760.0,38,15.0,3,No,Married,5,Average,1
,Unemployed,6279.0,599.0,56,86.0,3,No,Married,3,Good,0
,Unemployed,25041.0,777.0,36,29.0,0,Yes,Married,3,Average,0
43415.0,Self-Employed,2065.0,382.0,40,16.0,0,Yes,Married,2,Good,0
75162.0,Unemployed,17793.0,757.0,28,66.0,0,,Single,4,Good,0
,Self-Employed,6356.0,597.0,28,118.0,0,Yes,Single,3,Poor,0
50237.0,Unemployed,25064.0,663.0,41,90.0,0,Yes,Single,1,Good,0
48699.0,Self-Employed,20554.0,,53,93.0,0,Yes,Married,3,Good,0
,Salaried,13834.0,639.0,57,88.0,0,No,Married,0,Good,1
69356.0,Unemployed,31475.0,815.0,41,96.0,2,Yes,,1,Good,0
62113.0,Unemployed,12827.0,407.0,20,65.0,0,No,Married,1,Good,1
35401.0,Unemployed,-4250.0,615.0,39,,0,Yes,Single,4,Good,0
55388.0,Salaried,24109.0,413.0,19,102.0,0,Yes,Single,4,Average,0
,Unemployed,5867.0,466.0,41,57.0,0,Yes,Single,0,Average,0
39521.0,Unemployed,13080.0,560.0,61,63.0,0,Yes,Married,5,Poor,0
36942.0,Self-Employed,15861.0,523.0,47,48.0,0,Yes,Married,4,Poor,1
75575.0,Unemployed,8608.0,561.0,55,26.0,0,Yes,Divorced,2,Good,0
45488.0,Unemployed,16050.0,550.0,19,112.0,0,Yes,Single,1,Good,0
74225.0,Self-Employed,8758.0,825.0,38,95.0,2,Yes,Married,2,Poor,1
64956.0,Salaried,21299.0,425.0,50,80.0,0,,Single,3,Good,0
56118.0,Salaried,10170.0,505.0,29,52.0,2,No,Married,3,Good,0
56788.0,Self-Employed,20241.0,439.0,39,100.0,2,No,Single,2,Good,0
28994.0,Salaried,29296.0,361.0,61,68.0,1,Yes,Married,0,Average,0
53102.0,Salaried,26259.0,582.0,42,56.0,0,Yes,Single,3,Good,0
,Unemployed,19346.0,353.0,66,57.0,0,Yes,Single,4,Good,0
60220.0,Unemployed,12090.0,645.0,44,32.0,0,Yes,Married,1,Good,0
52315.0,Unemployed,21273.0,823.0,59,16.0,1,Yes,Single,3,Average,1
75679.0,Salaried,14434.0,435.0,45,69.0,0,Yes,Married,3,Good,0
47224.0,Unemployed,21609.0,629.0,33,108.0,3,Yes,Single,3,Average,0
40707.0,Salaried,6278.0,443.0,32,13.0,0,,Divorced,0,Good,0
52307.0,Unemployed,26458.0,735.0,64,104.0,1,Yes,Single,1,Good,0
61497.0,Salaried,20266.0,581.0,68,101.0,0,No,Married,2,,0
24233.0,Self-Employed,37668.0,435.0,61,37.0,0,Yes,Married,5,Good,0
54273.0,Self-Employed,30448.0,788.0,69,78.0,0,Yes,Married,4,Good,1
,Unemployed,24529.0,700.0,20,25.0,0,No,Single,5,Poor,0
45955.0,Salaried,19008.0,748.0,54,93.0,0,Yes,Married,2,Good,1
66604.0,Self-Employed,14163.0,569.0,68,86.0,0,Yes,Single,1,Poor,0
59618.0,Self-Employed,27539.0,316.0,24,46.0,0,No,Married,2,Good,0
82121.0,Unemployed,18164.0,568.0,38,13.0,0,Yes,Married,4,Good,0
38741.0,Unemployed,29347.0,781.0,26,117.0,0,Yes,Married,3,Average,0
62461.0,Salaried,23207.0,518.0,56,57.0,3,Yes,Married,3,Average,0
34740.0,Self-Employed,23264.0,618.0,35,108.0,0,Yes,Single,2,,0
25770.0,Salaried,24756.0,537.0,21,83.0,0,Yes,Single,4,Good,0
19467.0,Salaried,12643.0,844.0,42,95.0,0,Yes,Single,5,Average,0
58075.0,Unemployed,11823.0,584.0,31,93.0,0,No,Married,4,Good,0
52764.0,Salaried,11546.0,336.0,67,28.0,0,Yes,Single,2,Average,0
42814.0,Salaried,28380.0,402.0,26,47.0,0,Yes,Married,5,Average,0
23397.0,Self-Employed,12434.0,729.0,43,59.0,3,Yes,,5,Good,0
39644.0,Salaried,13431.0,538.0,19,63.0,0,Yes,Divorced,4,Average,0
